Código;Nombre del Cliente;Ruta ;Dirección;Coord. Geocaptura 1;Coord. Geocaptura 2;Venta ultimo mes ;Clasificacion;Dia de visita
1200498995;ALIMENTOS MIGUEL;ML2Q61;CL 90 50D 49;-75,5596;6,2821;6971000;A;MI-SA
1224173343;AUTO SERVICIO EKO AHORRO;ML2Q61;CL 106 43 26;-75,5498;6,2944;2692000;AAA;MA-VI
1224665402;AUTO SERVICIO ESQUINA ROJA;ML2Q61;CL 90 52 82;-75,5642;6,2824;2928000;AA;LU-JU
1210187373;AUTO SERVICIO PRECIOS BAJOS;ML2Q61;CR 42B 91 106;-75,54962167;6,282651667;3202300;AA;LU-JU
1210580363;AUTO SERVICIO VALENTINA;ML2Q61;CR 31 107 54 201;-75,541245;6,2952693;2208600;AAA;MI-SA
1200558920;AUTOSERVICIO CANDILEJAS;ML2Q61;CL 89 52B 24;-75,56419667;6,281263333;5910000;A;LU-JU
1224784060;AUTOSERVICIO EL DIVINO;ML2Q61;CR 40 95A 58;-75,549102;6,287033;4616400;A;MA-VI
1200580930;AUTOSERVICIO LA 90;ML2Q61;CL 90 52 70;-75,564;6,2824;5854000;A;LU-JU
1224844472;AUTOSERVICIO LA BENDICION DE NICKY;ML2Q61;CR 39 95A 66;-75,5483315;6,2870106;3729000;AA;MA-VI
1210658609;AUTOSERVICIO LA VIÑA;ML2Q61;CR 27B 106B 31;-75,53983833;6,293758333;5468700;A;MI-SA
1224739877;AUTOSERVICIO LOS MONOS;ML2Q61;CL 105 48AA 84;-75,55355;6,295053333;2953000;AA;MA-VI
1224837735;AUTOSERVICIO MERCA MERCA;ML2Q61;CL 96 39 41;-75,5488;6,28711;2341000;AAA;MA-VI
1224537163;AUTOSERVICIO R Y Z SAS;ML2Q61;CR 31A 102B 4;-75,541965;6,292401667;4140000;AA;MI-SA
1200507448;BOINA BLANCA;ML2Q61;CR 47 105A 09;-75,55278667;6,295051667;26825900;A;MA-VI
1210583794;COFFE PARK;ML2Q61;CR 49 92 105;-75,5561234;6,2843489;4400500;A;MA-VI
1210724740;CRECIENDO CON DIOS;ML2Q61;CL 105 40 13;-75,5484682;6,2933779;3850500;AA;MI-SA
1200503456;EL DIVINO NIÑO;ML2Q61;CR 52 86 01;-75,5635214;6,2796861;1995500;AAA;LU-JU
1200567068;EL ESQUINAZO;ML2Q61;CR 38C 99 08;-75,54768833;6,289206667;1800000;AAA;MI-SA
1224657938;EL SAMARITANO;ML2Q61;CR 49 93 77;-75,55664;6,2854;93740000;A;MA-VI
1210070209;EL VENTIADERO;ML2Q61;CR 38 96 71;-75,5476;6,2873;2149800;AAA;MA-VI
1200507573;GRANERO EL CUÑA;ML2Q61;CR 42B 92 38;-75,54986;6,28384;4788000;A;MA-VI
1200536928;GRANERO LA 48;ML2Q61;CR 48 104B 03;-75,55338333;6,2949;9815000;A;MA-VI
1210560827;GRANERO LA VERDE;ML2Q61;CL 93 50B 36;-75,559465;6,284733333;3315800;AA;MI-SA
1224840417;GRANERO LOS TIOS;ML2Q61;CL 92B 53A 06;-75,5637374;6,2848136;4534000;A;LI-JU
1200517369;GRANERO MIXTO SOFI;ML2Q61;CR 47 95 06;-75,5548;6,2877;2377000;AAA;MA-VI
1200574409;GRANERO PUNTO UNO;ML2Q61;CL 95 42B 39;-75,5503671;6,2863296;2781400;AAA;MA-VI
1224777671;GRANERO SAN ESTEBAN;ML2Q61;CR 54 91 02;-75,5648463;6,2836636;3566900;AA;LU-JU
1224810126;INVERSIONES EXITO;ML2Q61;CR CR 38 94 50;-75,547684;6,2859149;5254800;A;MA-VI
1224052914;INVERSIONES ISAMARIA SAS;ML2Q61;CL 99 51 37;-75,560131;6,2917559;4492800;A;LU-JU
1200522697;LA 88;ML2Q61;CL 88 48 29;-75,5561;6,2805;2711400;AAA;MA-VI
1200540193;LA ARBOLEDA;ML2Q61;CR 49B 87 4;-75,557486;6,2797289;3125500;AA;MA-VI
1224264087;LA ESQUINA DE LA AMISTAD;ML2Q61;CL 103 36B 41;-75,545335;6,292415;2988900;AA;MI-SA
1210311470;LA NUEVA ESQUINA;ML2Q61;CR 45A 97 51;-75,5525568;6,2890122;3396000;AA;LU-JU
1224210624;LA PLACITA 2;ML2Q61;CR 32 106A 03;-75,5419;6,2938;2788000;AAA;MI-SA
1210493436;LA PROVIDENCIA;ML2Q61;CL 94 49 36;-75,5562;6,2861;3402800;AA;MA-VI
1224588527;LA TIENDA DE PAPO;ML2Q61;CR 40 91 24;-75,54924579;6,282319073;2388700;AAA;LU-JU
1200552257;LAS 2 FF;ML2Q61;CR 53 94A 01;-75,5632783;6,2869333;8366800;A;LU-MI-VI
1224277369;LAS AAA;ML2Q61;CR 38 94 79;-75,54761833;6,286283333;1940800;AAA;MA-VI
1210286283;LAS DELICIAS DE CANDELO;ML2Q61;CL 100 47 59;-75,5546688;6,2913821;3346900;AA;MA-VI
1210569512;LAS MARGARITAS;ML2Q61;CR 47 99 96;-75,554;6,2906;3802300;AA;MA-VI
1224866402;LOS ARBOLITOS;ML2Q61;CR 51B 96 22;-75,5619511;6,2890197;1806500;AAA;LU-JU
1200536147;LOS COLEGAS;ML2Q61;CR 39 94 71;-75,548485;6,286263333;16273400;A;LU-MI-VI
1224425327;LOS PAISANITOS;ML2Q61;CR 47 104 A 09;-75,55171;6,294263333;2907400;AAA;MA-VI
1200579342;MACRO VARIEDADES;ML2Q61;CL 90 47 19;-75,5552539;6,2821617;2600000;AAA;MA-VI
1224784185;MADDOX;ML2Q61;CR 51 89 04;-75,56117;6,2812963;4968900;A;MI-SA
1200506124;MECATIADERO EL BUEN GUSTO;ML2Q61;CR 55 90 81;-75,5652759;6,2837192;5781200;A;LU-JU
1224863964;MERCA TODO LA 43A;ML2Q61;CR 43A 103 81;-75,5503557;6,2931714;1800000;AAA;MA-VI
1224722778;MERCADOS ALGI;ML2Q61;CR 31 100C 113;-75,5420302;6,2901981;2215000;AAA;MI-SA
1224722933;MERCADOS LA 102;ML2Q61;CL 102 33D 91;-75,54417833;6,29115;4222800;A;MI-SA
1200574540;MERCADOS LA 36;ML2Q61;CR 36CC 92A 26;-75,54693333;6,283961667;3049800;AA;MI-SA
1200573365;MERCADOS LA 51;ML2Q61;CL 97 51B 03;-75,5621;6,2898;3089200;AA;LU-JU
1200507196;MERCADOS MAXIMO EL MIRADOR;ML2Q61;CR 33A 106A 05;-75,543065;6,293831667;5715000;A;MI-SA
1210551285;MERCADOS MI ECONOMIA;ML2Q61;CR 58 87AA 14;-75,5674;6,2807;5315000;A;LU-JU
1224285786;MERCADOS SAN ESTEBAN 1 S.A.S;ML2Q61;CL 91 53 28;-75,5642;6,2835;4108400;AA;LU-JU
1224808366;MERQUE PREMIO;ML2Q61;CR 37 N 95 - 41;-75,546894;6,2860694;2376800;AAA;MA-VI
1224714272;MINIMARKET LA ESQUINA DORADA;ML2Q61;CR 49A 87 121;-75,55686167;6,280908333;2309500;AAA;MA-VI
1210262449;MINIMERCADO DANI;ML2Q61;CR 44A 94 134;-75,5518;6,2875;2460000;AAA;LU-JU
1224654572;MINIMERCADO EL CUÑA;ML2Q61;CL 86A 50 05;-75,5582068;6,2792346;3030800;AA;MA-VI
1224652490;MINIMERCADO LA 53;ML2Q61;CR 53 95A 86;-75,5633791;6,288223;3066800;AA;LU-JU
1224072527;MINIMERCADO LOS SOCIOS;ML2Q61;CR 50 89 03;-75,5581;6,2811;3220400;AA;MA-VI
1224843508;MINIMERCADO MARLONDY;ML2Q61;CL 98 49 81;-75,55700333;6,290166667;4802500;A;LU-JU
1224525650;MINIMERCADO SAN ISIDRO;ML2Q61;CL 95 51B 45;-75,5624;6,2873;6148400;A;LU-JU
1224307142;PANADERIA EL BISCOCHITO;ML2Q61;CR 58 86A 04;-75,56676167;6,279771667;10990000;A;LU-MI-VI
1200506860;SALSAMENTARIA LOS ZAGALES;ML2Q61;CL 92 49A 39;-75,5571;6,2833;4290000;A;MA-VI
1200570192;SUPERMCDO LAS GRANJAS;ML2Q61;CR 42B 89A 18;-75,5502;6,2816;3744000;AA;JU
1224562524;SUPERMERCADO EL AHORRO LA 92;ML2Q61;CL 92 36 44;-75,5458036;6,2827856;1780900;AAA;MI-SA
1224563897;SUPERMERCADO EL CAGUAN S.A.S;ML2Q61;CR 36 86B 67;-75,5468456;6,2815328;2792000;AAA;MI-SA
1224340066;SUPERMERCADO GUADALUPE;ML2Q61;CR 40 95A 04;-75,5492;6,2865;7485200;A;MA-VI
1224680218;SUPERMERCADO LOS MONTAÑEROS;ML2Q61;CR 32 102B 142;-75,5418749;6,2934145;2375000;AAA;MI-SA
1210296782;SUPERMERCADO SANTO DOMINGO;ML2Q61;CR 32 102B 49;-75,5421379;6,292647463;2331400;AAA;MI-SA
1200567887;TDA CIELO;ML2Q61;CR 51A 96 113;-75,5612749;6,2897969;2926800;AA;LU-JU
1224785892;TERMINAL PUNTO A;ML2Q61;CL 96 44A 04;-75,55179;6,28761;2642800;AAA;LU-JU
1210265673;TIENDA 4 ESQUINAS;ML2Q61;CR 51A 96 04;-75,5614;6,2888;3024400;AA;LU-JU
1224796002;TIENDA BARATODO;ML2Q61;CL 94 59B 06;-75,55734515;6,285967121;2765300;AAA;MI-SA
1224857298;TIENDA BRAEMA;ML2Q61;CR 50 94 106;-75,5577736;6,2870038;5552900;A;MI-SA
1200577504;TIENDA CACERES;ML2Q61;CR 49B 87 114;-75,55746167;6,280005;2524000;AAA;MA-VI
1200506807;TIENDA COMPREMOS;ML2Q61;CL 90 50B 05;-75,55952333;6,282771667;3193200;AA;MI-SA
1210582411;TIENDA LA DEPORTIVA;ML2Q61;CL 93 46 04;-75,5538;6,2845;3670400;AA;MA-VI
1210204657;TIENDA SAFRA;ML2Q61;CR 44AN 93 92 INT 102;-75,55155833;6,285058333;3336400;AA;LU-JU
;;;;;total;423652500;A;
